Feature,Importance
checking_account_A14,0.11607856577801448
credit_amount,0.10913115422765048
loan_duration,0.09994868211898354
age,0.08062992118820604
installment_rate,0.038675768167103435
credit_history_A34,0.03553059593810506
residence_duration,0.0330303244425656
other_installment_plans_A143,0.02820754732375016
savings_account_A65,0.024891528299775458
employment_duration_A72,0.021583728856746184
checking_account_A12,0.01973459260326491
housing_A152,0.018794742440066813
telephone_A192,0.018608536572295928
loan_purpose_A43,0.01855385274061368
personal_status_A93,0.017863445980292377
existing_credits,0.017350083041277466
property_type_A124,0.016492227340507787
property_type_A123,0.016448441634502913
personal_status_A92,0.015725255059741514
employment_duration_A73,0.01523896078675922
credit_history_A32,0.014403275235411211
employment_duration_A75,0.014180470288077753
job_A173,0.013967198110313214
loan_purpose_A42,0.012738133476763606
loan_purpose_A41,0.012697676840816349
employment_duration_A74,0.012546497031825333
property_type_A122,0.012187920433695291
job_A174,0.010970084293717168
job_A172,0.010507723958056856
dependents,0.01048613222787942
credit_history_A33,0.010466598778082878
savings_account_A62,0.010356206125843424
checking_account_A13,0.010061740484176183
loan_purpose_A49,0.009573051240960598
savings_account_A64,0.009509332908777292
loan_purpose_A46,0.008984431138978007
other_debtors_A103,0.007910536134045373
credit_history_A31,0.007377467698142992
housing_A153,0.0069898040101678445
personal_status_A94,0.006818675005695489
savings_account_A63,0.00652057821142064
foreign_worker_A202,0.005276544981874136
other_installment_plans_A142,0.005084665044195319
other_debtors_A102,0.004314000025436018
loan_purpose_A45,0.0019704743484625486
loan_purpose_A44,0.0010259433193293436
loan_purpose_A410,0.0003889879907023011
loan_purpose_A48,0.00016789611693042165
